 Category,Responsible Person,Publishing Date ,Platform (ENG/CN),Country,Blog Title ,Subtitle/Snippet (For Web),GD Image Link/Video Link,Related Mojo Website Case/Media for Cross Linking,INFLUENCERS,HASHTAGS,ENGLISH (Linkedin / FB)  - BITIC CHECK,ENGLISH (Instagram)  - BITIC CHECK,ENGLISH (Twitter)  - BITIC CHECK,CHINESE (SIMPLIFIED) - MAINLAND/SINGAPORE/MALAYSIA,CHINESE (TRADITIONAL) - TAIWAN/HK,SPANISH + CATALAN,JAPANESE
MOJO Think,Pooja,2020-4-27,FB/LI/IG,Global,Rise of E-Sports in the world ,,https://drive.google.com/drive/u/1/folders/19YzRZ8sIHr31kJS6-tT-0miut5Dfpuxo,https://www.globaldigitalmojo.com/rise-of-e-sports-in-the-world/," Insta :  @techinasia @techablejp @ui__ux @jumpstartmag @cyberporthkofficial
 @hongkongpolyu       Facebook: @techinasia @linustech @spatialflow @techablejp",#GlobalDigitalMOJO #MOJOacademy #GDMAcademy #digitaltranformation #education #marketing #strategy #creativity #F1 #Esports,"In this digital era, we have almost everything available digitally. we have seen many digital sports games available to us. In fact, the Taiwan government has considered E-Sport as a legitimate ""Sport"". Here is an article about the  Rise of E-Sports in the world and the latest Formula 1 case study. Read & download the complete article head to the link ",,,,,,
MAY,,,,,,,,,,,,,,,,,
MOJO News,Pooja/Eunice,2020-5-1,FB/LI/IG,Global,"Happy Labor day!
Fight COVID-19!",,,https://drive.google.com/file/d/1B3J0FShGZm5cOOaHcRLWVT-tQJzRYKv9/view?usp=sharing,INSTAGRAM : @kerina_hsueh @cindy_xu3ejo3 @phoebe_foodaily @badalsaboo @Lolaloliitaaa.love @thegulabigirl @instameettaiwan FACEBOOK : @4foodies4girls @chiaofb @trickytaipei @EnchantedVagabond @Lolaloliitaaa.love @badalsaboo @thegulabigirl,"#GlobalDigitalMOJO
#COVID-19 #laborday 
#coronavirus #virus 
#happylaborday ","While the world faces the COVID-19 pandemic, lots of labours, full-time workers are losing their jobs, but surely these tough time will always pass. Let's Fight the Virus Together! Practice the prevention measures to stay safe such as: wash your hand, keep social distance and stay home. 
This Labour Day: Global Digital MOJO wishes for a better tomorrow for all the Labourers & Workers and the entire world!",,,,,,
MOJO News,Mihir/Pooja/ADI,2020-5-5,MOJO WEB,Global,MOJO MOVES: APR 2020 Newsletter,,,,,,MOJO MOVES: How To Fight Global COVID-19 Pandemic,,,,,,
MOJO News,Mihir/Pooja/ADI,2020-5-5,FB/LI/IG,Global,MOJO MOVES: How To Fight Global COVID-19 Pandemic,,https://drive.google.com/drive/u/0/folders/1C1zr_1MEuWeq6CFMWWP-rUqJ36g14w4K,https://www.globaldigitalmojo.com/mojo-moves-apr-2020-newsletter/,INSTAGRAM : @hkongpolyu@kerina_hsueh @cindy_xu3ejo3 @phoebe_foodaily @badalsaboo @Lolaloliitaaa.love @thegulabigirl @instameettaiwan FACEBOOK : @4foodies4girls @chiaofb @trickytaipei @EnchantedVagabond @Lolaloliitaaa.love @badalsaboo @thegulabigirl,#GlobalDigitalMOJO #COVID-19 #coronavirus #MOJOMOVES #MOJOAcademy #GDMOJO,"""MOJO MOVES: How To Fight Global COVID-19 Pandemic” :
MOJO Moves is the E-Newsletter issued by Global Digital MOJO highlighting what’s going on in the MOJO world across all our global studios. In this issue we focus on the challenges that MOJO have been facing due to the COVID-19 Pandemic, and what measures we have taken and recommend to our clients and customers to fight off this unprecedented virus. Head over to read our complete E-Newsletter here: https://www.globaldigitalmojo.com/mojo-moves-apr-2020-newsletter/

Do you run a business that is in trouble due to COVID-19?  Connect with us and we will help you fight off the effects of the virus with Digital Transformation Strategy by Design, visit www.globaldigitalmojo.com or follow @globaldigitalmojo on all major social platforms",,,,,,
MOJO News,Mihir/Pooja/ADI,2020-5-8,Email Campaign,Global,MOJO MOVES: MAY Newsletter,,,,,,MOJO MOVES: How To Fight Global COVID-19 Pandemic,,,,,,
MOJO News,Eunice,2020-5-8,LI,Taiwan,"MOJO's Dr. David Williams Keynote Speech at Yuntech's
2020 Creative Design - The International Conference On Cross-Boundary and Integration",,,,@iccbiyuntech @yuntech @HongKongDesignersAssociation,#GlobalDigitalMOJO #MOJOAcademy #MOJOTaiwan #Yuntech #Creative #Ai #Design ,"GlobalDigitalMOJO’s CEO and Lead Digital Strategist Dr. David Williams gives a Keynote speech on Ai x Design at Yuntech Design Crossover conference 2020. His keynote speech talks about What is the Role of the Designer in an AI World and what happens when AI meets Design. MOJO is currently running a Prostep Masterclass at Yuntech on Applications of AI x Design in Disaster Areas. Part 2 of the Masterclass begins from 11th May, 2020. “2020 Creative Design - The International Conference On Cross-Boundary and Integration” held by Yuntech Creative Design department, to raise Taiwan’s interdisciplinary integrated cognition, increase communication between academy field and technical development in Taiwan. In order to raise international interaction and knowledge to integrate ability, the conference is focusing on four fields: Creative Design, Interdisciplinary Integrate, Artificial Intelligence Innovate Design, Cultural Develop. Make sure you follow @globaldigitalmojo on all major social platforms to get updates on our latest news and highlights from Dr. Williams keynote speeches. Visit: www.globaldigitalmojo.com to learn more!",,,,Global Digital Mojo的CEO David Williams 博士，參與由國立雲林科技大學創意生活設計所特別舉辦「2020創意生活設計：跨域整合國際研討會」，進行Ai x Design演講，關於『在未來Ai的世界中設計師將扮演什麼角色』、當設計碰到Ai將會有怎樣的發展。MOJO近期負責雲林科技大學研究所從5/11開始的Ai災害領域工作營的第二部分。 「2020創意生活設計：跨域整合國際研討會」由國立雲林科技大學創意生活設計所特別舉辦，盼能提昇台灣人對於跨領域整合的認知，加強台灣國內外學術領域與新技術發展的交流。為提升國際互動及知識整合能力，研討會將以「創意生活設計」、「跨域整合設計」、「智能創新設計」、「文化經營與發展」四大研究領域為主。 請確認你是否追蹤我們的媒體平台來獲取關於MOJO最新的消息，透過官網上能獲得David Williams博士Ai演講內容的資訊，網址連結：www.globaldigitalmojo.com。,,
MOJO News,,2013-5-20,Linked In/Facebook,Hong Kong,DXT Live Talk 4: Keynote Speech by MOJO,,https://drive.google.com/drive/u/0/folders/1hO83l2zgBEAQjBiFiPvBgtpYJWigsDkP,,@HongKongDesignersAssociation,#DXT #HKDA #CreateHK #香港科學園 #DXTCommunity #Seminar,"Our CEO, David Williams, is a member of the advisory board for the DxT Project by the Hong Kong Designers Association

DXT Live TALKS 4: Sense, Create & Change. invites GDMOJO's Dr. David Williams, for the 4th consecutive time, to give a talk on their new theme of Sense, Create and Change. 
Dr. Williams, the lead strategist at Global Digital MOJO, will talk on the development of AI and its impact on the design profession.
Make sure you catch his Live Session on: AI meets Design at DxT Live TALKS 4 on the 15th May, 2020. 

To get more details on DxT Live 2020 head over to Hong Kong Designer Association Channel and sign-up for a unique experience and industry insights. Link Below: https://www.globaldigitalmojo.com/technology-meets-design-as-we-give-a-keynote-speech-in-hong-kong/
",,,,,,
MOJO Web/,,2013-5-20,MOJO In the MEDIA,Hong Kong,Technology Meets Design as we give a keynote speech in Hong Kong,,,,,,"Our CEO, David Williams, is a member of the advisory board for the DxT Project by the Hong Kong Designers Assocaition
DXT Live TALKS 4: Sense, Create & Change. invites GDMOJO's Dr. David Williams, for the 4th consecutive time, to give a talk on their new theme of Sense, Create and Change. 
Dr. Williams, the lead strategist at Global Digital MOJO, will talk on the development of AI and its impact on the design profession. How technology such as AI will change the way we look at the design profession and how technology will play a vital role in creating innovated products and solutions to problems currently faced by the world and create a sense of new living for the future. Make sure you catch his Live Session on: AI meets Design at DxT Live TALKS 4 on the 15th May, 2020. 

To get more details on DxT Live 2020, head over to Hong Kong Designer Association Channel and sign-up for a unique experience and industry insights. Link Below: https://www.facebook.com/HongKongDesignersAssociation/?__tn__=kC-R&eid=ARDDJ0l_ZIGblKPNPbjB8bzF6gfD9XFmeqYAKhpJpSW6leorkj9_uTT5wuaKOvI-ptyP6NkQZmPvhGx_&hc_ref=ARQe88yF0celdUU6GcyTM_f1ny7TMy6-p3bdlOfJilDUCOJfA4YHP2XLjgK0VZi4GZk&fref=nf&__xts__[0]=68.ARBzFO3QzzVu7IjfFNlM2S7izW6h60-o0t31MS-zQ_f32pKpWsKw1OnbUdEjC_hwOxgvIttDe7oXwy5r73wzyX3o0BhHjAWEBpNgpOLqY2JPQzKLOCH9yzUxkq3ddJ9fCUKaEx6_bFNbY72D-_To3zmOk9WXCJgLGtghAtZOxw6Yl3KOLS0wmp46WpPB8dJOG9LvU78k_7dnzF1SGO13zXJ5p6loh-4M8wTINiTewKYwVm7reDIp8XvMgzHXUETLUurvRXIy2PeoMI1H-7XaJ4e36RX9Eo9abqJUEnFfvYod9yFXW0ijyEU4xz_eCvPs3bfkuR3NlD1K0yLcQ7DELlJczRKtoF-memJPf_LoMg",,,,,,
MOJO News,Atsuko/Carly/ Adi,TBD,FB/LI/IG,Japan,FIND YOUR MOJO Vol 1: MOJO In Japan,,,,@techinasia @linustech @spatialflow @techablejp,#GlobalDigitalMOJO #MOJOacademy #GDMAcademy #digitaltranformation #education #marketing #strategy #creativity #japan,"Explore the first installment of ""Find Your MOJO"" A series with a mixture of Media, News, Blogs, Articles, Animation and more offering you insights into the world of MOJO. In this first Vol. take a trip with us to Osaka, Japan and journey with us to discover MOJO's past and vision for the future for businesses in Japan in 2020.  ",,,,,,"第一回Find your MOJOをWebで更新しました。
お見逃しなく!
<url of Web>
日本での展開理由、2020年のMOJOのプランについてはこちら!>MOJO THINK links"
